comp_id,bioactivity,data_split,smiles
CHEMBL1289764,1,test,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2cn[nH]c2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1
CHEMBL1289988,1,test,CS(=O)(=O)c1ccc(-c2ccc([C@H](N[C@@H](CC3CC3)C(=O)N[C@H](C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1
CHEMBL1290084,1,train,CS(=O)(=O)c1ccc(-c2ccc([C@H](N[C@@H](CC(Cl)Cl)C(=O)N[C@H](C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1
CHEMBL1290191,1,train,CC(C)[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1
CHEMBL1290303,1,test,CS(=O)(=O)c1ccc(-c2ccc([C@H](N[C@H](C(=O)N[C@H](C#N)Cc3ccccc3)C3CC3)C(F)(F)F)cc2)cc1
CHEMBL129492,1,test,CC(C)CC(NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCc1ccccn1
CHEMBL129933,1,test,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCc1ccccn1
CHEMBL130107,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCN1CCOCC1
CHEMBL130114,1,validation,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccccn1
CHEMBL130215,1,train,CCNC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)Cc1cccc2ccccc12
CHEMBL130338,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc1cccc(OC)c1
CHEMBL130506,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC(O)c1ccccc1
CHEMBL130756,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc1ccccc1OC
CHEMBL131264,1,train,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCOCCO
CHEMBL131319,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC1CCCO1
CHEMBL131688,1,train,Cc1cccc(C[C@H](Nc2ccc3c(c2)C(=O)OC3)C(=O)N[C@H](C#N)COCc2ccc(F)c(C(=O)O)c2)c1
CHEMBL131732,1,train,Cc1cccc(C[C@H](Nc2ccc3c(c2)C(=O)OC3(C)C)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
CHEMBL131760,0,test,CN(C)C(=O)C[C@H](NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)N[C@H]1CN(OCc2ccccc2)C1=O
CHEMBL131781,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC1(C)CC(O)CC(C)(C)C1
CHEMBL131909,0,train,CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ccccc2o1
CHEMBL132586,1,validation,CCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccccn1
CHEMBL132587,1,test,CC(C)CC(NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCCCN1CCOCC1
